Date,Campaign_Type,Campaign,Ad_Group,Keyword,Match_Type,Impressions,Clicks,Cost_COP,Conversions,Quality_Score
2026-07-14,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit gimnasio,Phrase,61,6,$6.812,0,8
2026-07-14,Category,NovaFit - Category,Leggings,leggings deportivos mujer,Phrase,1.328,43,$79.888,2,6
2026-07-14,Category,NovaFit - Category,Leggings,leggings gimnasio,Broad,945,24,$46.337,1,5
2026-07-14,Category,NovaFit - Category,Leggings,leggings compresion,Phrase,474,18,$32.145,1,6
2026-07-14,Category,NovaFit - Category,Training Shoes,tenis para entrenar,Phrase,1.506,46,$94.616,1,6
2026-07-14,Category,NovaFit - Category,Training Shoes,zapatillas training mujer,Broad,783,17,$33.812,1,5
2026-07-14,Category,NovaFit - Category,Training Shoes,tenis crossfit,Phrase,716,24,$48.424,1,6
2026-07-14,Category,NovaFit - Category,Gym Membership,membresia gimnasio medellin,Phrase,912,41,$59.569,2,8
2026-07-14,Category,NovaFit - Category,Gym Membership,gimnasio mensualidad,Broad,565,13,$23.845,1,5
2026-07-14,Category,NovaFit - Category,Gym Membership,plan gimnasio mensual,Phrase,315,10,$16.071,0,8
2026-07-14,Category,NovaFit - Category,Supplements,proteina whey precio,Broad,822,17,$33.378,0,5
2026-07-14,Category,NovaFit - Category,Supplements,suplementos gimnasio colombia,Phrase,417,11,$18.036,0,6
2026-07-14,Category,NovaFit - Category,Supplements,batido proteina gimnasio,Broad,256,5,$10.610,0,5
2026-07-14,Competitor,NovaFit - Competitor,FitZone,fitzone colombia,Phrase,313,3,$10.470,0,3
2026-07-14,Competitor,NovaFit - Competitor,FitZone,fitzone medellin,Phrase,194,2,$6.197,0,3
2026-07-14,Competitor,NovaFit - Competitor,FitZone,fitzone gimnasio precios,Broad,142,1,$3.329,0,4
2026-07-14,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics tienda,Phrase,133,2,$6.003,0,5
2026-07-14,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics ropa deportiva,Broad,105,1,$3.171,0,3
2026-07-14,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics colombia,Phrase,104,1,$3.016,0,3
2026-07-15,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit,Exact,466,58,$52.328,8,10
2026-07-15,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit colombia,Phrase,258,25,$27.829,3,9
2026-07-15,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit tienda oficial,Phrase,99,13,$11.868,2,9
2026-07-15,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit medellin,Phrase,81,7,$7.020,1,8
2026-07-15,Brand,NovaFit - Brand,NovaFit Brand Terms,tienda novafit,Phrase,72,5,$4.992,0,8
2026-07-15,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit gimnasio,Phrase,62,5,$5.388,1,9
2026-07-15,Category,NovaFit - Category,Leggings,leggings deportivos mujer,Phrase,1.213,38,$66.029,1,6
2026-07-15,Category,NovaFit - Category,Leggings,leggings gimnasio,Broad,931,19,$38.344,0,6
2026-07-15,Category,NovaFit - Category,Leggings,leggings compresion,Phrase,350,14,$23.789,0,6
2026-07-15,Category,NovaFit - Category,Training Shoes,tenis para entrenar,Phrase,1.484,38,$72.008,1,6
2026-07-15,Category,NovaFit - Category,Training Shoes,zapatillas training mujer,Broad,647,12,$24.151,0,5
2026-07-15,Category,NovaFit - Category,Training Shoes,tenis crossfit,Phrase,494,15,$29.985,0,6
2026-07-15,Category,NovaFit - Category,Gym Membership,membresia gimnasio medellin,Phrase,887,38,$55.705,2,8
2026-07-15,Category,NovaFit - Category,Gym Membership,gimnasio mensualidad,Broad,585,14,$28.601,1,7
2026-07-15,Category,NovaFit - Category,Gym Membership,plan gimnasio mensual,Phrase,295,12,$21.658,0,6
2026-07-15,Category,NovaFit - Category,Supplements,proteina whey precio,Broad,853,13,$25.408,0,6
2026-07-15,Category,NovaFit - Category,Supplements,suplementos gimnasio colombia,Phrase,610,17,$29.028,0,6
2026-07-15,Category,NovaFit - Category,Supplements,batido proteina gimnasio,Broad,318,6,$12.286,0,5
2026-07-15,Competitor,NovaFit - Competitor,FitZone,fitzone colombia,Phrase,300,3,$10.108,0,5
2026-07-15,Competitor,NovaFit - Competitor,FitZone,fitzone medellin,Phrase,150,2,$6.411,0,3
2026-07-15,Competitor,NovaFit - Competitor,FitZone,fitzone gimnasio precios,Broad,122,1,$3.653,0,4
2026-07-15,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics tienda,Phrase,164,2,$6.313,0,5
2026-07-15,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics ropa deportiva,Broad,134,2,$6.144,0,3
2026-07-15,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics colombia,Phrase,101,1,$2.768,0,5
2026-07-16,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit,Exact,610,56,$49.171,5,9
2026-07-16,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit colombia,Phrase,344,40,$37.907,4,10
2026-07-16,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit tienda oficial,Phrase,96,11,$10.210,1,9
2026-07-16,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit medellin,Phrase,105,9,$9.519,1,9
2026-07-16,Brand,NovaFit - Brand,NovaFit Brand Terms,tienda novafit,Phrase,67,5,$5.993,0,10
2026-07-16,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit gimnasio,Phrase,41,3,$3.190,0,8
2026-07-16,Category,NovaFit - Category,Leggings,leggings deportivos mujer,Phrase,1.431,42,$83.736,2,6
2026-07-16,Category,NovaFit - Category,Leggings,leggings gimnasio,Broad,1.210,33,$69.322,1,6
2026-07-16,Category,NovaFit - Category,Leggings,leggings compresion,Phrase,461,17,$29.509,1,7
2026-07-16,Category,NovaFit - Category,Training Shoes,tenis para entrenar,Phrase,1.270,38,$70.098,1,7
2026-07-16,Category,NovaFit - Category,Training Shoes,zapatillas training mujer,Broad,579,13,$30.209,0,6
2026-07-16,Category,NovaFit - Category,Training Shoes,tenis crossfit,Phrase,653,21,$40.544,1,7
2026-07-16,Category,NovaFit - Category,Gym Membership,membresia gimnasio medellin,Phrase,719,28,$41.070,1,6
2026-07-16,Category,NovaFit - Category,Gym Membership,gimnasio mensualidad,Broad,725,17,$29.810,1,7
2026-07-16,Category,NovaFit - Category,Gym Membership,plan gimnasio mensual,Phrase,305,13,$22.881,1,8
2026-07-16,Category,NovaFit - Category,Supplements,proteina whey precio,Broad,884,13,$28.449,0,6
2026-07-16,Category,NovaFit - Category,Supplements,suplementos gimnasio colombia,Phrase,511,13,$25.582,0,7
2026-07-16,Category,NovaFit - Category,Supplements,batido proteina gimnasio,Broad,290,5,$9.767,0,5
2026-07-16,Competitor,NovaFit - Competitor,FitZone,fitzone colombia,Phrase,317,4,$13.128,0,5
2026-07-16,Competitor,NovaFit - Competitor,FitZone,fitzone medellin,Phrase,153,2,$5.914,0,5
2026-07-16,Competitor,NovaFit - Competitor,FitZone,fitzone gimnasio precios,Broad,138,1,$3.074,0,4
2026-07-16,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics tienda,Phrase,142,2,$5.665,0,5
2026-07-16,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics ropa deportiva,Broad,140,2,$6.262,0,3
2026-07-16,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics colombia,Phrase,106,1,$3.049,0,3
2026-07-17,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit,Exact,628,58,$56.519,6,10
2026-07-17,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit colombia,Phrase,379,37,$37.860,4,10
2026-07-17,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit tienda oficial,Phrase,101,15,$14.472,2,9
2026-07-17,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit medellin,Phrase,82,7,$6.243,1,10
2026-07-17,Brand,NovaFit - Brand,NovaFit Brand Terms,tienda novafit,Phrase,54,4,$4.544,0,9
2026-07-17,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit gimnasio,Phrase,48,3,$3.565,0,8
2026-07-17,Category,NovaFit - Category,Leggings,leggings deportivos mujer,Phrase,1.469,49,$95.786,2,6
2026-07-17,Category,NovaFit - Category,Leggings,leggings gimnasio,Broad,1.051,25,$48.745,1,7
2026-07-17,Category,NovaFit - Category,Leggings,leggings compresion,Phrase,371,11,$20.184,0,7
2026-07-17,Category,NovaFit - Category,Training Shoes,tenis para entrenar,Phrase,948,25,$48.537,1,6
2026-07-17,Category,NovaFit - Category,Training Shoes,zapatillas training mujer,Broad,651,14,$27.953,0,5
2026-07-17,Category,NovaFit - Category,Training Shoes,tenis crossfit,Phrase,718,22,$38.698,1,7
2026-07-17,Category,NovaFit - Category,Gym Membership,membresia gimnasio medellin,Phrase,1.064,44,$63.926,2,6
2026-07-17,Category,NovaFit - Category,Gym Membership,gimnasio mensualidad,Broad,710,21,$39.509,1,6
2026-07-17,Category,NovaFit - Category,Gym Membership,plan gimnasio mensual,Phrase,340,14,$22.451,0,6
2026-07-17,Category,NovaFit - Category,Supplements,proteina whey precio,Broad,914,18,$34.571,0,6
2026-07-17,Category,NovaFit - Category,Supplements,suplementos gimnasio colombia,Phrase,454,13,$24.664,0,5
2026-07-17,Category,NovaFit - Category,Supplements,batido proteina gimnasio,Broad,283,6,$13.381,0,6
2026-07-17,Competitor,NovaFit - Competitor,FitZone,fitzone colombia,Phrase,331,4,$11.869,0,5
2026-07-17,Competitor,NovaFit - Competitor,FitZone,fitzone medellin,Phrase,188,3,$8.293,0,4
2026-07-17,Competitor,NovaFit - Competitor,FitZone,fitzone gimnasio precios,Broad,119,1,$3.342,0,3
2026-07-17,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics tienda,Phrase,176,2,$5.678,0,5
2026-07-17,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics ropa deportiva,Broad,172,2,$6.436,0,3
2026-07-17,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics colombia,Phrase,108,1,$2.803,0,5
2026-07-18,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit,Exact,565,70,$60.087,8,9
2026-07-18,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit colombia,Phrase,227,20,$20.406,2,10
2026-07-18,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit tienda oficial,Phrase,87,10,$8.194,1,10
2026-07-18,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit medellin,Phrase,86,8,$7.633,1,9
2026-07-18,Brand,NovaFit - Brand,NovaFit Brand Terms,tienda novafit,Phrase,52,5,$5.003,0,10
2026-07-18,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit gimnasio,Phrase,43,4,$4.570,0,9
2026-07-18,Category,NovaFit - Category,Leggings,leggings deportivos mujer,Phrase,1.679,57,$106.124,2,6
2026-07-18,Category,NovaFit - Category,Leggings,leggings gimnasio,Broad,912,18,$41.385,1,6
2026-07-18,Category,NovaFit - Category,Leggings,leggings compresion,Phrase,303,9,$15.459,0,7
2026-07-18,Category,NovaFit - Category,Training Shoes,tenis para entrenar,Phrase,789,17,$30.210,1,6
2026-07-18,Category,NovaFit - Category,Training Shoes,zapatillas training mujer,Broad,514,13,$28.244,0,5
2026-07-18,Category,NovaFit - Category,Training Shoes,tenis crossfit,Phrase,508,18,$33.712,1,7
2026-07-18,Category,NovaFit - Category,Gym Membership,membresia gimnasio medellin,Phrase,672,30,$44.819,2,7
2026-07-18,Category,NovaFit - Category,Gym Membership,gimnasio mensualidad,Broad,528,14,$24.663,0,6
2026-07-18,Category,NovaFit - Category,Gym Membership,plan gimnasio mensual,Phrase,269,10,$17.064,1,7
2026-07-18,Category,NovaFit - Category,Supplements,proteina whey precio,Broad,918,18,$38.959,0,6
2026-07-18,Category,NovaFit - Category,Supplements,suplementos gimnasio colombia,Phrase,343,9,$14.618,0,6
2026-07-18,Category,NovaFit - Category,Supplements,batido proteina gimnasio,Broad,299,6,$11.936,0,6
2026-07-18,Competitor,NovaFit - Competitor,FitZone,fitzone colombia,Phrase,267,4,$14.057,0,3
2026-07-18,Competitor,NovaFit - Competitor,FitZone,fitzone medellin,Phrase,131,1,$3.327,0,4
2026-07-18,Competitor,NovaFit - Competitor,FitZone,fitzone gimnasio precios,Broad,69,0,$0,0,3
2026-07-18,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics tienda,Phrase,106,1,$3.164,0,5
2026-07-18,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics ropa deportiva,Broad,124,1,$3.192,0,4
2026-07-18,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics colombia,Phrase,70,1,$2.799,0,4
2026-07-19,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit,Exact,371,44,$37.964,6,9
2026-07-19,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit colombia,Phrase,296,27,$30.034,3,10
2026-07-19,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit tienda oficial,Phrase,86,12,$10.498,2,10
2026-07-19,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit medellin,Phrase,82,6,$5.380,1,8
2026-07-19,Brand,NovaFit - Brand,NovaFit Brand Terms,tienda novafit,Phrase,46,4,$3.985,0,9
2026-07-19,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit gimnasio,Phrase,45,4,$4.143,0,9
2026-07-19,Category,NovaFit - Category,Leggings,leggings deportivos mujer,Phrase,1.401,46,$92.922,2,7
2026-07-19,Category,NovaFit - Category,Leggings,leggings gimnasio,Broad,777,19,$37.752,0,7
2026-07-19,Category,NovaFit - Category,Leggings,leggings compresion,Phrase,289,10,$16.002,0,6
2026-07-19,Category,NovaFit - Category,Training Shoes,tenis para entrenar,Phrase,809,20,$37.603,0,5
2026-07-19,Category,NovaFit - Category,Training Shoes,zapatillas training mujer,Broad,463,8,$16.724,0,5
2026-07-19,Category,NovaFit - Category,Training Shoes,tenis crossfit,Phrase,558,13,$23.915,0,7
2026-07-19,Category,NovaFit - Category,Gym Membership,membresia gimnasio medellin,Phrase,746,34,$50.804,2,8
2026-07-19,Category,NovaFit - Category,Gym Membership,gimnasio mensualidad,Broad,380,8,$13.780,0,6
2026-07-19,Category,NovaFit - Category,Gym Membership,plan gimnasio mensual,Phrase,222,7,$12.259,0,6
2026-07-19,Category,NovaFit - Category,Supplements,proteina whey precio,Broad,814,13,$25.309,0,5
2026-07-19,Category,NovaFit - Category,Supplements,suplementos gimnasio colombia,Phrase,485,11,$20.037,0,7
2026-07-19,Category,NovaFit - Category,Supplements,batido proteina gimnasio,Broad,281,5,$10.502,0,5
2026-07-19,Competitor,NovaFit - Competitor,FitZone,fitzone colombia,Phrase,183,2,$6.412,0,3
2026-07-19,Competitor,NovaFit - Competitor,FitZone,fitzone medellin,Phrase,122,1,$3.204,0,5
2026-07-19,Competitor,NovaFit - Competitor,FitZone,fitzone gimnasio precios,Broad,80,0,$0,0,3
2026-07-19,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics tienda,Phrase,145,2,$5.797,0,4
2026-07-19,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics ropa deportiva,Broad,131,1,$3.062,0,3
2026-07-19,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics colombia,Phrase,59,0,$0,0,4
2026-07-20,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit,Exact,686,88,$88.269,8,10
2026-07-20,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit colombia,Phrase,338,32,$33.393,3,10
2026-07-20,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit tienda oficial,Phrase,145,18,$16.439,3,10
2026-07-20,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit medellin,Phrase,101,11,$11.264,1,10
2026-07-20,Brand,NovaFit - Brand,NovaFit Brand Terms,tienda novafit,Phrase,57,5,$5.623,0,10
2026-07-20,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit gimnasio,Phrase,49,3,$3.128,0,8
2026-07-20,Category,NovaFit - Category,Leggings,leggings deportivos mujer,Phrase,1.941,52,$89.088,2,6
2026-07-20,Category,NovaFit - Category,Leggings,leggings gimnasio,Broad,1.085,30,$60.037,1,5
2026-07-20,Category,NovaFit - Category,Leggings,leggings compresion,Phrase,552,21,$37.013,1,7
2026-07-20,Category,NovaFit - Category,Training Shoes,tenis para entrenar,Phrase,1.406,37,$68.844,1,6
2026-07-20,Category,NovaFit - Category,Training Shoes,zapatillas training mujer,Broad,772,14,$32.466,0,7
2026-07-20,Category,NovaFit - Category,Training Shoes,tenis crossfit,Phrase,542,19,$35.943,1,8
2026-07-20,Category,NovaFit - Category,Gym Membership,membresia gimnasio medellin,Phrase,992,34,$50.430,2,8
2026-07-20,Category,NovaFit - Category,Gym Membership,gimnasio mensualidad,Broad,493,13,$26.595,0,7
2026-07-20,Category,NovaFit - Category,Gym Membership,plan gimnasio mensual,Phrase,361,15,$24.435,1,7
2026-07-20,Category,NovaFit - Category,Supplements,proteina whey precio,Broad,943,16,$35.459,0,5
2026-07-20,Category,NovaFit - Category,Supplements,suplementos gimnasio colombia,Phrase,588,18,$31.501,1,7
2026-07-20,Category,NovaFit - Category,Supplements,batido proteina gimnasio,Broad,369,7,$16.109,0,6
2026-07-20,Competitor,NovaFit - Competitor,FitZone,fitzone colombia,Phrase,252,3,$9.923,0,5
2026-07-20,Competitor,NovaFit - Competitor,FitZone,fitzone medellin,Phrase,158,2,$6.474,0,3
2026-07-20,Competitor,NovaFit - Competitor,FitZone,fitzone gimnasio precios,Broad,116,1,$3.372,0,3
2026-07-20,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics tienda,Phrase,150,2,$6.512,0,4
2026-07-20,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics ropa deportiva,Broad,102,1,$3.531,0,3
2026-07-20,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics colombia,Phrase,102,1,$2.708,0,5
2026-07-21,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit,Exact,705,84,$80.392,8,9
2026-07-21,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit colombia,Phrase,372,30,$29.009,4,10
2026-07-21,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit tienda oficial,Phrase,129,20,$17.244,3,10
2026-07-21,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit medellin,Phrase,122,13,$12.754,2,10
2026-07-21,Brand,NovaFit - Brand,NovaFit Brand Terms,tienda novafit,Phrase,59,5,$5.063,0,10
2026-07-21,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit gimnasio,Phrase,64,6,$7.240,1,8
2026-07-21,Category,NovaFit - Category,Leggings,leggings deportivos mujer,Phrase,1.953,62,$121.343,2,7
2026-07-21,Category,NovaFit - Category,Leggings,leggings gimnasio,Broad,1.218,28,$55.923,1,5
2026-07-21,Category,NovaFit - Category,Leggings,leggings compresion,Phrase,389,14,$22.460,0,7
2026-07-21,Category,NovaFit - Category,Training Shoes,tenis para entrenar,Phrase,1.419,32,$63.262,1,5
2026-07-21,Category,NovaFit - Category,Training Shoes,zapatillas training mujer,Broad,596,10,$21.258,0,5
2026-07-21,Category,NovaFit - Category,Training Shoes,tenis crossfit,Phrase,699,24,$41.670,1,7
2026-07-21,Category,NovaFit - Category,Gym Membership,membresia gimnasio medellin,Phrase,928,43,$72.839,2,7
2026-07-21,Category,NovaFit - Category,Gym Membership,gimnasio mensualidad,Broad,781,21,$41.754,1,7
2026-07-21,Category,NovaFit - Category,Gym Membership,plan gimnasio mensual,Phrase,296,10,$16.939,1,8
2026-07-21,Category,NovaFit - Category,Supplements,proteina whey precio,Broad,1.066,16,$32.897,0,5
2026-07-21,Category,NovaFit - Category,Supplements,suplementos gimnasio colombia,Phrase,504,16,$28.981,1,5
2026-07-21,Category,NovaFit - Category,Supplements,batido proteina gimnasio,Broad,312,7,$14.780,0,5
2026-07-21,Competitor,NovaFit - Competitor,FitZone,fitzone colombia,Phrase,210,2,$6.257,0,3
2026-07-21,Competitor,NovaFit - Competitor,FitZone,fitzone medellin,Phrase,142,2,$6.597,0,5
2026-07-21,Competitor,NovaFit - Competitor,FitZone,fitzone gimnasio precios,Broad,91,1,$3.491,0,3
2026-07-21,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics tienda,Phrase,170,2,$6.581,0,3
2026-07-21,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics ropa deportiva,Broad,168,2,$6.291,0,3
2026-07-21,Competitor,NovaFit - Competitor,UrbanAthletics,urbanathletics colombia,Phrase,95,1,$3.023,0,5
2026-07-22,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit,Exact,674,90,$77.427,12,9
2026-07-22,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit colombia,Phrase,327,37,$37.432,4,10
2026-07-22,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit tienda oficial,Phrase,89,13,$10.400,1,10
2026-07-22,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit medellin,Phrase,118,11,$9.880,1,10
2026-07-22,Brand,NovaFit - Brand,NovaFit Brand Terms,tienda novafit,Phrase,63,5,$5.753,0,10
2026-07-22,Brand,NovaFit - Brand,NovaFit Brand Terms,novafit gimnasio,Phrase,62,5,$5.352,0,9
2026-07-22,Category,NovaFit - Category,Leggings,leggings deportivos mujer,Phrase,1.537,47,$80.167,2,8
2026-07-22,Category,NovaFit - Category,Leggings,leggings gimnasio,Broad,1.268,36,$82.702,1,7
2026-07-22,Category,NovaFit - Category,Leggings,leggings compresion,Phrase,384,11,$18.195,1,8
